bad_user_id, l2_topk, l2_lastk, cosine_topk, cosine_lastk, total_bad_user_count
11,7,12,10,7,102
15,5,12,11,5,102
90,11,9,10,7,102
95,5,11,11,5,102
177,5,12,10,5,102
197,12,7,5,8,102
211,9,8,10,6,102
255,11,9,8,7,102
257,16,4,7,7,102
272,11,8,8,7,102
338,13,7,12,5,102
384,16,4,5,6,102
416,21,8,5,11,102
759,11,6,7,7,102
946,20,7,6,8,102
1760,23,8,6,11,102
2336,8,9,9,5,102
2408,13,2,5,9,102
3133,13,4,6,5,102
3254,16,4,4,8,102
3516,14,4,4,7,102
3774,13,6,6,9,102
7371,15,3,5,5,102
7380,13,3,6,8,102
7398,14,3,7,5,102
7406,13,6,2,8,102
7412,13,4,4,5,102
7417,13,4,13,3,102
7423,13,1,2,5,102
7426,13,3,5,5,102
7433,13,4,1,5,102
7435,13,1,5,8,102
7442,13,6,6,8,102
7447,13,1,2,2,102
7457,13,5,5,6,102
7479,13,0,2,5,102
7483,13,8,17,0,102
7501,13,7,11,8,102
7503,13,1,4,5,102
7504,13,4,6,1,102
7506,13,7,14,3,102
7507,13,4,4,5,102
7510,13,4,18,0,102
7513,13,6,8,0,102
7514,13,8,11,1,102
7516,13,4,8,5,102
7521,13,5,4,8,102
7522,13,7,14,2,102
7523,13,7,14,2,102
7528,13,7,5,9,102
7532,13,7,14,2,102
7535,13,8,17,0,102
7540,13,0,0,11,102
7544,13,5,6,8,102
7550,14,8,8,7,102
7554,13,5,5,9,102
7555,13,4,3,7,102
7558,13,2,5,0,102
7563,13,7,5,9,102
7564,8,8,10,5,102
7566,13,5,4,7,102
7568,13,3,5,6,102
7575,13,4,3,11,102
7578,13,4,3,8,102
7583,13,0,7,5,102
7584,13,8,11,8,102
7585,16,5,8,7,102
7586,13,5,8,2,102
7587,13,4,6,7,102
7588,15,9,9,7,102
7590,13,4,6,8,102
7591,14,4,5,5,102
7594,13,5,11,5,102
7595,9,8,6,7,102
7596,15,1,7,8,102
7597,16,4,5,10,102
7598,14,12,18,1,102
7599,13,17,17,1,102
7600,16,6,8,5,102
7601,13,21,21,2,102
7602,14,20,22,2,102
7603,8,10,8,7,102
7604,12,11,17,1,102
