bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
1,13,2,0,3,11,1,2,13,0,10,4,1
2,13,2,0,3,11,1,3,12,0,10,4,1
3,13,2,0,3,11,1,2,13,0,10,4,1
4,13,2,0,2,12,1,2,13,0,10,4,1
5,13,2,0,2,12,1,4,11,0,11,3,1
6,13,2,0,2,12,1,4,11,0,11,3,1
7,13,2,0,2,12,1,2,13,0,10,4,1
8,13,2,0,2,12,1,3,12,0,10,4,1
9,13,2,0,2,12,1,4,11,0,11,3,1
10,13,2,0,2,12,1,4,11,0,10,4,1
13,3,12,0,2,12,1,2,13,0,11,3,1
14,10,5,0,2,12,1,4,11,0,11,3,1
16,7,8,0,4,10,1,3,12,0,10,4,1
19,13,2,0,2,12,1,2,13,0,12,2,1
20,8,7,0,2,12,1,4,11,0,11,3,1
21,13,2,0,1,13,1,2,13,0,11,3,1
23,3,12,0,7,7,1,2,13,0,12,2,1
24,13,2,0,2,12,1,1,14,0,11,3,1
26,13,2,0,2,12,1,3,12,0,10,4,1
27,11,4,0,2,12,1,1,14,0,11,3,1
28,3,12,0,3,11,1,2,13,0,10,4,1
30,13,2,0,2,12,1,3,12,0,10,4,1
31,12,3,0,1,13,1,3,12,0,10,4,1
32,13,2,0,1,13,1,1,14,0,10,4,1
34,12,3,0,2,12,1,3,12,0,10,4,1
36,13,2,0,1,13,1,3,12,0,10,4,1
37,3,12,0,2,12,1,4,11,0,10,4,1
40,12,3,0,1,13,1,3,12,0,10,4,1
41,3,12,0,11,3,1,15,0,0,5,9,1
42,13,2,0,2,12,1,3,12,0,10,4,1
43,13,2,0,2,12,1,2,13,0,11,3,1
45,3,12,0,4,10,1,3,12,0,10,4,1
46,3,12,0,5,9,1,2,13,0,10,4,1
47,11,4,0,2,12,1,4,11,0,10,4,1
49,11,4,0,2,12,1,2,13,0,10,4,1
53,3,12,0,4,10,1,4,11,0,12,2,1
54,3,12,0,3,11,1,2,13,0,10,4,1
56,3,12,0,2,12,1,2,13,0,10,4,1
59,3,12,0,2,12,1,2,13,0,10,4,1
63,3,12,0,4,10,1,4,11,0,10,4,1
67,12,3,0,2,12,1,3,12,0,11,3,1
68,3,12,0,7,7,1,2,13,0,11,3,1
73,11,4,0,2,12,1,1,14,0,10,4,1
75,10,5,0,2,12,1,2,13,0,11,3,1
77,3,12,0,3,11,1,2,13,0,12,2,1
83,3,12,0,3,11,1,2,13,0,11,3,1
85,13,2,0,2,12,1,1,14,0,10,4,1
91,3,12,0,7,7,1,2,13,0,10,4,1
92,3,12,0,3,11,1,2,13,0,11,3,1
100,3,12,0,3,11,1,3,12,0,10,4,1
103,6,9,0,4,10,1,4,11,0,10,4,1
105,3,12,0,4,10,1,2,13,0,10,4,1
109,3,12,0,6,8,1,3,12,0,10,4,1
111,3,12,0,1,13,1,4,11,0,10,4,1
112,3,12,0,0,14,1,2,13,0,10,4,1
113,3,12,0,3,11,1,4,11,0,10,4,1
118,3,12,0,3,11,1,3,12,0,11,3,1
119,3,12,0,6,8,1,3,12,0,11,3,1
120,3,12,0,3,11,1,2,13,0,12,2,1
123,3,12,0,4,10,1,4,11,0,11,3,1
124,9,6,0,2,12,1,3,12,0,10,4,1
129,3,12,0,8,6,1,2,13,0,11,3,1
131,3,12,0,0,14,1,4,11,0,11,3,1
138,3,12,0,10,4,1,7,8,0,11,3,1
142,3,12,0,4,10,1,3,12,0,10,4,1
145,10,5,0,2,12,1,3,12,0,11,3,1
148,3,12,0,7,7,1,1,14,0,10,4,1
149,3,12,0,6,8,1,3,12,0,11,3,1
150,3,12,0,2,12,1,2,13,0,10,4,1
159,3,12,0,3,11,1,3,12,0,11,3,1
163,3,12,0,2,12,1,3,12,0,12,2,1
168,3,12,0,7,7,1,2,13,0,10,4,1
170,3,12,0,3,11,1,2,13,0,10,4,1
174,3,12,0,4,10,1,4,11,0,10,4,1
176,3,12,0,7,7,1,3,12,0,10,4,1
