bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
1,1,0,0,0,1,1,0,1,2,0,0,2
2,1,1,1,0,1,1,0,0,0,1,1,1
3,1,1,0,0,1,1,0,0,2,1,0,1
4,1,1,0,0,1,1,0,0,2,0,0,2
5,1,0,0,0,1,2,0,0,1,1,1,1
6,1,0,0,0,1,2,0,0,1,1,1,1
7,1,0,1,0,1,1,0,1,1,1,0,1
8,1,0,1,0,1,1,0,1,1,1,0,1
9,1,0,0,0,1,1,0,1,1,0,1,2
10,1,0,0,0,1,1,0,1,2,1,0,1
13,1,0,1,0,0,2,1,0,1,0,0,2
14,1,0,0,0,0,1,1,1,0,0,2,2
16,1,0,1,0,0,2,1,0,1,1,0,1
19,1,1,0,0,1,1,0,0,2,0,0,2
20,1,1,0,0,0,1,1,0,1,1,1,1
21,2,0,0,0,0,1,0,1,2,1,0,1
23,1,0,1,0,0,2,1,0,0,0,1,2
24,1,0,0,1,1,1,0,1,2,0,0,1
26,1,0,0,1,1,2,0,0,1,0,1,1
27,1,0,0,0,0,1,1,1,1,0,1,2
28,1,0,1,0,0,2,1,0,1,1,0,1
30,1,0,0,0,1,1,0,1,0,1,2,1
31,1,0,0,0,0,1,1,1,1,1,1,1
32,2,0,1,0,0,1,0,1,1,0,0,2
34,1,0,0,0,0,1,1,1,1,0,1,2
36,2,0,0,0,0,1,0,1,1,1,1,1
37,1,0,0,0,0,2,1,0,0,1,2,1
40,1,0,1,0,0,1,1,1,1,1,0,1
41,1,0,1,0,0,2,1,0,0,0,1,2
42,1,0,1,0,1,1,0,1,1,1,0,1
43,1,0,0,0,1,1,0,1,2,0,0,2
45,1,0,0,0,0,2,1,0,1,1,1,1
46,1,0,0,0,0,2,1,0,2,1,0,1
47,1,0,0,0,0,2,1,0,1,1,1,1
49,1,0,0,0,0,1,1,1,0,1,2,1
53,1,0,0,0,0,2,1,0,0,0,2,2
54,1,0,0,0,0,2,1,0,1,0,1,2
56,1,0,0,0,0,2,1,0,1,1,1,1
59,1,0,0,0,0,2,1,0,1,0,1,2
63,1,0,0,0,0,1,1,1,1,1,1,1
67,1,0,0,0,0,1,1,1,1,0,1,2
68,1,0,0,0,0,1,1,1,0,1,2,1
73,1,0,0,0,0,1,1,1,1,1,1,1
75,1,0,1,0,0,1,1,1,0,0,1,2
77,1,0,1,0,0,2,1,0,1,0,0,2
83,1,1,0,1,0,1,1,0,0,0,2,1
85,1,0,0,0,1,1,0,1,2,1,0,1
91,1,0,0,1,0,2,1,0,0,0,2,1
92,1,0,0,0,0,2,1,0,0,1,2,1
100,1,0,1,0,0,2,1,0,1,1,0,1
103,1,0,1,0,0,2,1,0,1,1,0,1
105,1,0,0,0,0,2,1,0,0,1,2,1
109,1,0,0,0,0,2,1,0,0,1,2,1
111,1,0,0,0,0,1,1,1,1,1,1,1
112,1,0,0,0,0,2,1,0,0,1,2,1
113,1,0,0,0,0,2,1,0,1,1,1,1
118,1,0,1,0,0,2,1,0,0,1,1,1
119,1,0,1,0,0,2,1,0,0,0,1,2
120,1,0,0,0,0,2,1,0,0,0,2,2
123,1,0,0,0,0,1,1,1,2,0,0,2
124,1,0,0,0,0,1,1,1,0,0,2,2
129,1,0,0,0,0,2,1,0,2,0,0,2
131,1,0,0,0,0,2,1,0,0,1,2,1
138,1,0,0,0,0,2,1,0,0,0,2,2
142,1,0,0,0,0,1,1,1,0,1,2,1
145,1,0,0,0,0,1,1,1,1,0,1,2
148,1,0,0,0,0,2,1,0,1,1,1,1
149,1,0,0,0,0,2,1,0,0,0,2,2
150,1,0,0,0,0,2,1,0,0,1,2,1
159,1,1,0,0,0,1,1,0,1,1,1,1
163,1,0,0,0,0,2,1,0,0,0,2,2
168,1,0,1,0,0,2,1,0,0,1,1,1
170,1,0,0,0,0,2,1,0,1,1,1,1
174,1,0,0,0,0,1,1,1,2,0,0,2
176,1,0,0,0,0,2,1,0,1,0,1,2
191,1,0,0,0,0,2,1,0,2,0,0,2
199,1,0,0,0,0,2,1,0,0,1,2,1
203,1,0,0,0,0,2,1,0,2,0,0,2
207,1,0,0,0,0,1,1,1,0,0,2,2
227,1,0,0,0,0,2,1,0,1,0,1,2
242,1,0,0,0,0,2,1,0,0,0,2,2
248,1,0,1,0,0,2,1,0,0,0,1,2
266,1,0,0,0,0,1,1,1,1,1,1,1
267,1,0,1,0,0,2,1,0,0,0,1,2
286,1,0,0,0,0,2,1,0,0,0,2,2
287,1,0,0,0,0,1,1,1,0,1,2,1
297,1,0,0,0,0,2,1,0,0,1,2,1
302,1,0,0,0,0,2,1,0,0,1,2,1
310,1,0,0,0,0,2,1,0,0,1,2,1
311,1,0,1,1,0,2,1,0,0,0,1,1
312,1,0,0,0,0,2,1,0,1,1,1,1
333,1,0,0,0,0,2,1,0,0,0,2,2
335,1,0,0,0,0,2,1,0,0,0,2,2
336,1,0,1,0,0,2,1,0,0,1,1,1
351,1,0,0,0,0,2,1,0,1,0,1,2
361,1,0,1,0,0,2,1,0,0,0,1,2
370,1,0,0,0,0,2,1,0,1,1,1,1
381,1,0,0,0,0,2,1,0,0,0,2,2
392,1,0,0,0,0,2,1,0,0,1,2,1
394,1,0,0,0,0,2,1,0,0,1,2,1
423,1,0,0,0,0,2,1,0,0,0,2,2
429,1,0,0,0,0,2,1,0,0,1,2,1
433,1,0,0,0,0,1,1,1,0,0,2,2
435,1,0,1,0,0,1,1,1,0,1,1,1
437,1,0,0,0,0,2,1,0,0,0,2,2
449,1,0,0,0,0,2,1,0,1,0,1,2
469,1,0,1,0,0,2,1,0,0,0,1,2
501,1,0,0,0,0,2,1,0,0,1,2,1
512,1,0,0,0,0,2,1,0,0,1,2,1
518,1,0,0,0,0,2,1,0,0,0,2,2
521,1,0,0,0,0,2,1,0,0,0,2,2
562,1,0,0,0,0,2,1,0,0,1,2,1
567,1,0,0,0,0,2,1,0,0,1,2,1
633,1,0,0,0,0,2,1,0,0,1,2,1
638,1,0,0,0,0,2,1,0,0,1,2,1
640,1,0,0,0,0,2,1,0,0,0,2,2
656,1,0,0,0,0,2,1,0,0,0,2,2
657,1,0,1,0,0,2,1,0,0,0,1,2
753,1,0,0,0,0,2,1,0,0,0,2,2
765,1,0,0,1,0,2,1,0,0,0,2,1
796,1,0,0,0,0,2,1,0,0,0,2,2
809,1,0,1,0,0,2,1,0,0,1,1,1
821,1,0,0,0,0,2,1,0,0,0,2,2
844,1,0,0,0,0,2,1,0,0,1,2,1
899,1,0,0,0,0,1,1,1,1,0,1,2
956,1,1,0,1,0,1,1,0,0,0,2,1
1019,1,0,1,0,0,2,1,0,0,0,1,2
1057,1,1,1,0,0,1,1,0,0,0,1,2
1069,1,0,0,0,0,2,1,0,0,1,2,1
1072,1,0,0,0,0,2,1,0,0,1,2,1
1151,1,0,0,0,0,2,1,0,0,1,2,1
1338,1,0,0,0,0,2,1,0,0,0,2,2
1371,1,0,0,0,0,2,1,0,0,1,2,1
1395,1,0,1,0,0,2,1,0,0,0,1,2
1551,1,0,0,0,0,1,1,1,1,0,1,2
