bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,10,0,25,3,22,10,2,19,14,0,3,32
15,10,0,25,1,22,12,3,18,14,4,2,29
90,12,7,16,3,19,13,2,15,18,3,2,30
95,10,0,25,2,22,11,4,17,14,4,2,29
177,10,0,25,3,22,10,4,14,17,0,3,32
197,11,12,12,3,11,21,3,13,19,0,2,33
211,8,20,7,3,10,22,2,9,24,3,2,30
255,7,20,8,1,10,24,2,8,25,0,2,33
257,4,22,9,1,2,32,2,1,32,0,2,33
272,8,19,8,2,11,22,2,12,21,0,1,34
338,4,22,9,0,0,35,2,0,33,4,2,29
384,4,22,9,3,1,31,1,1,33,3,2,30
416,4,22,9,2,2,31,2,6,27,0,3,32
759,4,22,9,4,1,30,0,2,33,1,2,32
946,4,22,9,1,6,28,1,2,32,0,3,32
1760,4,22,9,1,6,28,1,7,27,3,2,30
2336,11,12,12,2,11,22,2,20,13,0,3,32
2408,4,22,9,0,1,34,0,1,34,0,1,34
3133,4,22,9,0,0,35,0,0,35,0,2,33
3254,4,22,9,3,2,30,2,4,29,0,3,32
3516,4,22,9,1,0,34,1,0,34,4,2,29
3774,4,22,9,2,2,31,2,3,30,0,2,33
7371,4,22,9,1,1,33,1,1,33,4,2,29
7380,4,22,9,3,1,31,1,1,33,3,2,30
7398,4,22,9,2,1,32,0,3,32,0,3,32
7406,4,22,9,1,1,33,0,1,34,0,3,32
7408,4,22,9,0,1,34,14,0,21,0,1,34
7412,4,22,9,1,0,34,1,1,33,0,1,34
7417,4,22,9,3,0,32,1,0,34,1,19,15
7423,4,22,9,0,0,35,0,0,35,3,2,30
7426,4,22,9,2,0,33,0,0,35,4,2,29
7433,4,22,9,0,0,35,1,0,34,4,2,29
7435,4,22,9,0,0,35,1,0,34,4,2,29
7442,4,22,9,1,2,32,1,1,33,0,3,32
7447,4,22,9,0,0,35,0,1,34,0,3,32
7448,4,22,9,0,1,34,14,0,21,0,1,34
7457,4,22,9,2,0,33,1,0,34,1,3,31
7459,4,22,9,0,1,34,14,0,21,0,1,34
7470,4,22,9,0,1,34,14,0,21,0,1,34
7471,4,22,9,0,1,34,14,0,21,0,1,34
7472,4,22,9,0,1,34,14,0,21,0,1,34
