bad_user_id, l2_topk, l2_lastk, cosine_topk, cosine_lastk, total_bad_user_count
11,10,11,12,0,102
15,10,10,12,4,102
90,12,9,11,3,102
95,10,11,12,4,102
177,10,11,12,0,102
197,13,8,9,0,102
211,14,10,9,3,102
255,14,8,10,0,102
257,12,6,8,0,102
272,14,10,11,0,102
338,12,7,5,4,102
384,12,4,9,3,102
416,13,9,10,0,102
759,22,13,6,1,102
946,21,12,8,0,102
1760,21,12,9,3,102
2336,13,8,11,0,102
2408,12,0,0,0,102
3133,12,3,6,0,102
3254,22,12,10,0,102
3516,12,7,4,4,102
3774,12,5,8,0,102
7371,12,8,7,4,102
7380,22,9,8,3,102
7398,12,6,5,0,102
7406,12,5,4,0,102
7408,12,0,18,0,102
7412,12,4,4,0,102
7417,12,10,20,13,102
7423,12,7,0,3,102
7426,12,5,7,4,102
7433,12,4,6,4,102
7435,12,3,5,4,102
7442,12,6,4,0,102
7447,12,0,0,0,102
7448,12,0,18,0,102
7457,12,5,9,1,102
7459,12,0,18,0,102
7470,12,0,18,0,102
7471,12,0,18,0,102
7472,12,0,18,0,102
7474,12,0,18,0,102
7475,12,0,18,0,102
7477,12,0,18,0,102
7479,12,0,0,3,102
7480,12,0,18,0,102
7483,12,4,5,3,102
7484,12,8,18,0,102
7485,12,2,18,0,102
7501,12,7,8,4,102
7503,12,2,6,0,102
7504,12,2,4,0,102
7505,12,8,18,0,102
7506,12,10,20,14,102
7507,12,2,6,0,102
7510,12,1,5,0,102
7513,12,4,8,0,102
7514,12,6,7,0,102
7516,12,4,9,0,102
7521,12,4,4,0,102
7522,12,4,2,0,102
7523,12,4,2,0,102
7528,12,5,7,1,102
7532,12,4,2,0,102
7535,12,4,5,0,102
7540,12,6,9,0,102
7542,12,2,18,0,102
7543,12,2,18,0,102
7544,12,5,10,4,102
7550,12,10,5,4,102
7554,12,3,6,3,102
7555,12,5,8,3,102
7556,12,8,18,0,102
7558,12,4,7,4,102
7559,12,8,18,0,102
7563,12,5,9,1,102
7564,22,13,12,0,102
7566,12,4,4,0,102
7567,12,6,18,0,102
7568,12,6,4,0,102
7574,12,6,18,0,102
7575,12,6,8,0,102
7578,12,6,8,0,102
7583,12,4,5,4,102
7584,12,3,5,0,102
7585,22,10,7,4,102
7586,12,3,4,0,102
7587,12,5,6,4,102
7588,22,13,10,0,102
7590,12,7,7,0,102
7591,12,8,8,0,102
7594,12,3,7,3,102
7595,14,9,11,0,102
7596,12,5,8,0,102
7597,22,10,8,3,102
7598,22,13,10,3,102
7599,12,7,8,0,102
7600,12,5,9,1,102
7601,22,10,10,0,102
7602,22,12,10,0,102
7603,12,8,11,1,102
7604,18,8,7,1,102
