bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
11,2,1,0,0,1,1,0,1,1,1,2,2
15,2,0,1,0,1,3,0,0,0,1,2,2
90,1,0,0,0,0,2,2,1,0,0,3,3
95,2,0,0,0,1,1,0,2,0,1,3,2
177,2,0,0,0,1,1,0,2,3,1,0,2
197,1,0,0,0,0,2,2,1,1,1,2,2
211,1,0,0,0,0,2,2,1,0,0,3,3
255,1,0,0,0,0,3,2,0,1,0,2,3
257,1,0,0,0,0,3,2,0,0,1,3,2
272,1,0,0,0,0,2,2,1,2,0,1,3
338,1,0,0,0,0,3,2,0,0,1,3,2
384,1,0,0,0,0,3,2,0,1,1,2,2
416,1,0,0,0,0,3,2,0,0,1,3,2
759,1,0,0,0,0,2,2,1,0,1,3,2
946,1,0,0,0,0,3,2,0,0,1,3,2
1760,1,0,0,0,0,3,2,0,1,0,2,3
2336,1,0,0,0,0,2,2,1,2,1,1,2
2408,1,0,0,0,0,2,2,1,0,0,3,3
3133,1,0,0,0,0,3,2,0,0,0,3,3
3254,1,0,1,0,0,3,2,0,0,1,2,2
3516,1,0,0,0,0,3,2,0,0,0,3,3
3774,1,0,0,0,0,3,2,0,1,1,2,2
7371,1,0,0,0,0,3,2,0,0,1,3,2
7380,1,2,0,0,0,1,2,0,0,1,3,2
7398,1,0,0,0,0,3,2,0,1,1,2,2
7406,1,0,0,0,0,3,2,0,1,1,2,2
7408,1,0,2,0,0,3,2,0,0,0,1,3
7412,1,0,0,0,0,3,2,0,0,0,3,3
7417,1,1,1,0,0,2,2,0,0,1,2,2
7423,1,0,0,0,0,3,2,0,0,0,3,3
7426,1,0,0,1,0,3,2,0,0,0,3,2
7433,1,0,0,0,0,3,2,0,0,0,3,3
7435,1,0,0,0,0,3,2,0,0,1,3,2
7442,1,0,0,0,0,2,2,1,0,1,3,2
