bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
1,37,8,0,7,37,1,8,37,0,32,12,1
2,36,9,0,7,37,1,7,38,0,32,12,1
3,36,9,0,7,37,1,7,38,0,32,12,1
4,36,9,0,7,37,1,7,38,0,32,12,1
5,36,9,0,7,37,1,8,37,0,32,12,1
6,36,9,0,7,37,1,8,37,0,32,12,1
7,36,9,0,7,37,1,8,37,0,32,12,1
8,36,9,0,7,37,1,8,37,0,32,12,1
9,36,9,0,7,37,1,8,37,0,32,12,1
10,36,9,0,7,37,1,8,37,0,32,12,1
13,26,19,0,8,36,1,7,38,0,32,12,1
14,34,11,0,7,37,1,8,37,0,32,12,1
16,31,14,0,8,36,1,7,38,0,32,12,1
19,36,9,0,7,37,1,8,37,0,32,12,1
20,32,13,0,8,36,1,8,37,0,32,12,1
21,37,8,0,6,38,1,8,37,0,32,12,1
23,7,38,0,16,28,1,7,38,0,32,12,1
24,36,9,0,7,37,1,8,37,0,32,12,1
26,36,9,0,7,37,1,8,37,0,32,12,1
27,35,10,0,7,37,1,9,36,0,32,12,1
28,7,38,0,17,27,1,7,38,0,32,12,1
30,36,9,0,7,37,1,7,38,0,32,12,1
31,36,9,0,7,37,1,7,38,0,32,12,1
32,37,8,0,6,38,1,9,36,0,32,12,1
34,36,9,0,7,37,1,7,38,0,32,12,1
36,37,8,0,6,38,1,8,37,0,32,12,1
37,26,19,0,8,36,1,7,38,0,32,12,1
40,36,9,0,7,37,1,8,37,0,32,12,1
41,7,38,0,37,7,1,35,10,0,17,27,1
42,37,8,0,6,38,1,9,36,0,32,12,1
43,37,8,0,6,38,1,8,37,0,32,12,1
45,23,22,0,8,36,1,8,37,0,32,12,1
46,7,38,0,17,27,1,7,38,0,32,12,1
47,35,10,0,7,37,1,7,38,0,33,11,1
49,35,10,0,7,37,1,8,37,0,32,12,1
53,23,22,0,8,36,1,8,37,0,32,12,1
54,7,38,0,13,31,1,8,37,0,32,12,1
56,22,23,0,8,36,1,7,38,0,32,12,1
59,7,38,0,14,30,1,7,38,0,32,12,1
63,23,22,0,8,36,1,8,37,0,33,11,1
67,36,9,0,7,37,1,9,36,0,32,12,1
68,7,38,0,16,28,1,7,38,0,33,11,1
73,35,10,0,7,37,1,9,36,0,32,12,1
75,33,12,0,8,36,1,8,37,0,33,11,1
77,25,20,0,8,36,1,8,37,0,32,12,1
83,27,18,0,8,36,1,8,37,0,32,12,1
85,36,9,0,7,37,1,8,37,0,32,12,1
91,7,38,0,18,26,1,7,38,0,32,12,1
92,25,20,0,8,36,1,8,37,0,32,12,1
100,23,22,0,8,36,1,6,39,0,33,11,1
103,30,15,0,8,36,1,8,37,0,32,12,1
105,23,22,0,8,36,1,8,37,0,32,12,1
109,7,38,0,16,28,1,7,38,0,32,12,1
111,14,31,0,9,35,1,7,38,0,33,11,1
112,12,33,0,10,34,1,6,39,0,33,11,1
113,23,22,0,8,36,1,7,38,0,33,11,1
118,24,21,0,8,36,1,8,37,0,32,12,1
119,7,38,0,16,28,1,9,36,0,32,12,1
120,7,38,0,13,31,1,6,39,0,32,12,1
123,28,17,0,8,36,1,8,37,0,33,11,1
124,33,12,0,8,36,1,8,37,0,32,12,1
129,7,38,0,19,25,1,7,38,0,32,12,1
131,12,33,0,12,32,1,8,37,0,32,12,1
138,7,38,0,33,11,1,22,23,0,33,11,1
142,28,17,0,8,36,1,8,37,0,33,11,1
145,33,12,0,8,36,1,8,37,0,32,12,1
148,7,38,0,17,27,1,8,37,0,32,12,1
149,7,38,0,17,27,1,7,38,0,32,12,1
150,21,24,0,7,37,1,7,38,0,32,12,1
159,23,22,0,8,36,1,6,39,0,33,11,1
163,23,22,0,8,36,1,6,39,0,32,12,1
168,7,38,0,16,28,1,8,37,0,32,12,1
170,7,38,0,15,29,1,8,37,0,32,12,1
174,28,17,0,8,36,1,8,37,0,33,11,1
176,7,38,0,19,25,1,8,37,0,32,12,1
191,23,22,0,8,36,1,7,38,0,33,11,1
199,7,38,0,13,31,1,6,39,0,32,12,1
203,26,19,0,8,36,1,6,39,0,33,11,1
207,21,24,0,7,37,1,8,37,0,33,11,1
227,11,34,0,12,32,1,10,35,0,33,11,1
242,9,36,0,11,33,1,14,31,0,33,11,1
248,7,38,0,19,25,1,14,31,0,32,12,1
266,20,25,0,7,37,1,11,34,0,33,11,1
267,7,38,0,19,25,1,15,30,0,32,12,1
286,7,38,0,16,28,1,12,33,0,33,11,1
287,14,31,0,9,35,1,11,34,0,33,11,1
297,7,38,0,31,13,1,22,23,0,32,12,1
302,7,38,0,24,20,1,19,26,0,32,12,1
310,7,38,0,19,25,1,17,28,0,33,11,1
311,7,38,0,29,15,1,22,23,0,33,11,1
312,7,38,0,16,28,1,17,28,0,33,11,1
333,7,38,0,15,29,1,15,30,0,33,11,1
335,7,38,0,20,24,1,25,20,0,33,11,1
336,7,38,0,16,28,1,14,31,0,33,11,1
351,7,38,0,16,28,1,12,33,0,33,11,1
361,7,38,0,17,27,1,19,26,0,32,12,1
370,7,38,0,14,30,1,12,33,0,33,11,1
381,7,38,0,18,26,1,24,21,0,33,11,1
392,7,38,0,17,27,1,17,28,0,32,12,1
394,7,38,0,17,27,1,22,23,0,33,11,1
423,7,38,0,18,26,1,22,23,0,33,11,1
429,7,38,0,16,28,1,22,23,0,33,11,1
433,7,38,0,17,27,1,16,29,0,33,11,1
435,7,38,0,17,27,1,14,31,0,33,11,1
437,7,38,0,21,23,1,17,28,0,33,11,1
449,7,38,0,16,28,1,16,29,0,33,11,1
469,7,38,0,37,7,1,35,10,0,17,27,1
501,7,38,0,28,16,1,21,24,0,33,11,1
512,7,38,0,18,26,1,22,23,0,33,11,1
518,7,38,0,30,14,1,22,23,0,32,12,1
521,7,38,0,17,27,1,24,21,0,29,15,1
562,7,38,0,18,26,1,22,23,0,33,11,1
567,7,38,0,30,14,1,30,15,0,28,16,1
633,7,38,0,36,8,1,25,20,0,29,15,1
638,7,38,0,20,24,1,23,22,0,29,15,1
640,7,38,0,17,27,1,24,21,0,33,11,1
656,7,38,0,18,26,1,15,30,0,33,11,1
657,7,38,0,35,9,1,23,22,0,32,12,1
753,7,38,0,18,26,1,24,21,0,29,15,1
765,7,38,0,36,8,1,34,11,0,25,19,1
796,7,38,0,22,22,1,24,21,0,32,12,1
809,7,38,0,23,21,1,30,15,0,28,16,1
821,7,38,0,28,16,1,24,21,0,29,15,1
844,7,38,0,34,10,1,22,23,0,32,12,1
899,7,38,0,35,9,1,34,11,0,25,19,1
956,7,38,0,25,19,1,30,15,0,28,16,1
1019,7,38,0,37,7,1,35,10,0,17,27,1
1057,7,38,0,23,21,1,32,13,0,25,19,1
1069,7,38,0,37,7,1,34,11,0,25,19,1
1072,7,38,0,21,23,1,23,22,0,29,15,1
1151,7,38,0,29,15,1,33,12,0,25,19,1
1338,7,38,0,30,14,1,32,13,0,25,19,1
1371,7,38,0,29,15,1,33,12,0,25,19,1
1395,7,38,0,37,7,1,35,10,0,17,27,1
1551,7,38,0,35,9,1,34,11,0,25,19,1
