bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,4,0,1,1,3,1,1,1,3,0,2,3
15,4,0,1,0,2,3,2,0,3,0,1,4
90,2,3,0,1,2,2,0,1,4,0,0,5
95,4,0,1,0,3,2,1,1,3,0,2,3
177,4,0,1,0,4,1,0,4,1,0,1,4
197,2,3,0,1,2,2,0,3,2,0,1,4
211,2,3,0,0,2,3,0,1,4,0,0,5
255,2,3,0,0,0,5,0,1,4,0,0,5
257,2,3,0,0,0,5,0,0,5,0,1,4
272,2,3,0,0,2,3,0,2,3,0,0,5
338,2,3,0,0,0,5,0,0,5,0,2,3
384,2,3,0,0,0,5,0,1,4,0,2,3
416,2,3,0,0,0,5,1,0,4,0,1,4
759,2,3,0,0,1,4,0,0,5,0,1,4
946,2,3,0,0,0,5,0,0,5,0,1,4
1760,2,3,0,0,0,5,0,1,4,0,0,5
2336,2,3,0,1,1,3,0,4,1,0,2,3
2408,2,3,0,0,1,4,0,0,5,0,0,5
3133,2,3,0,0,0,5,0,0,5,0,1,4
3254,2,3,0,0,0,5,1,0,4,0,1,4
3516,2,3,0,0,0,5,0,0,5,0,0,5
3774,2,3,0,0,0,5,1,1,3,0,1,4
7371,2,3,0,0,0,5,0,0,5,0,1,4
7380,2,3,0,2,0,3,0,0,5,0,2,3
7398,2,3,0,0,0,5,0,1,4,0,2,3
7406,2,3,0,0,0,5,0,1,4,0,1,4
7408,2,3,0,0,0,5,3,0,2,0,0,5
7412,2,3,0,1,0,4,0,0,5,0,0,5
7417,2,3,0,1,0,4,1,0,4,0,2,3
7423,2,3,0,0,0,5,0,0,5,0,0,5
7426,2,3,0,0,0,5,0,0,5,1,0,4
7433,2,3,0,0,0,5,0,0,5,0,0,5
7435,2,3,0,0,0,5,0,0,5,0,1,4
7442,2,3,0,0,1,4,0,0,5,0,1,4
7447,2,3,0,0,0,5,0,0,5,0,1,4
7448,2,3,0,0,0,5,3,0,2,0,0,5
7457,2,3,0,0,0,5,0,0,5,1,1,3
7459,2,3,0,0,0,5,3,0,2,0,0,5
7470,2,3,0,0,0,5,3,0,2,0,0,5
7471,2,3,0,0,0,5,3,0,2,0,0,5
7472,2,3,0,0,0,5,3,0,2,0,0,5
7474,2,3,0,0,0,5,3,0,2,0,0,5
7475,2,3,0,0,0,5,3,0,2,0,0,5
7477,2,3,0,0,0,5,3,0,2,0,0,5
7479,2,3,0,0,0,5,0,0,5,0,1,4
7480,2,3,0,0,0,5,3,0,2,0,0,5
7483,2,3,0,1,0,4,1,0,4,0,0,5
7484,2,3,0,0,0,5,3,0,2,0,0,5
7485,2,3,0,0,0,5,3,0,2,0,0,5
7501,2,3,0,0,0,5,1,0,4,1,1,3
7503,2,3,0,0,0,5,0,0,5,0,1,4
7504,2,3,0,0,0,5,0,0,5,0,1,4
7505,2,3,0,0,0,5,3,0,2,0,0,5
7506,2,3,0,1,0,4,1,0,4,0,3,2
7507,2,3,0,0,0,5,0,0,5,0,1,4
7510,2,3,0,0,0,5,0,0,5,0,1,4
7513,2,3,0,0,0,5,0,0,5,0,0,5
7514,2,3,0,0,1,4,1,0,4,0,1,4
7516,2,3,0,0,0,5,0,0,5,0,1,4
7521,2,3,0,1,0,4,0,0,5,0,1,4
7522,2,3,0,2,0,3,2,0,3,0,1,4
7523,2,3,0,2,0,3,2,0,3,0,1,4
7528,2,3,0,0,1,4,0,1,4,1,1,3
7532,2,3,0,2,0,3,2,0,3,0,1,4
7535,2,3,0,1,0,4,1,0,4,0,1,4
7540,2,3,0,1,0,4,0,0,5,1,1,3
7542,2,3,0,0,0,5,3,0,2,0,0,5
7543,2,3,0,0,0,5,3,0,2,0,0,5
7544,2,3,0,1,0,4,0,0,5,0,0,5
