bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
1,4,1,0,0,1,1,0,3,3,1,2,4
2,4,1,2,0,1,1,0,3,2,1,1,4
3,4,1,1,0,1,1,0,3,4,1,0,4
4,4,1,2,0,1,3,0,1,3,1,0,4
5,4,1,0,0,1,2,0,2,4,1,1,4
6,4,1,0,0,1,2,0,2,4,1,1,4
7,4,1,1,0,1,1,0,3,3,1,1,4
8,4,0,1,1,1,2,0,3,3,1,1,3
9,4,0,0,0,1,2,0,3,3,1,2,4
10,4,0,0,0,1,2,0,3,4,1,1,4
13,2,0,1,0,0,5,3,0,4,1,0,4
14,2,0,0,0,0,1,3,4,1,1,4,4
16,2,1,1,0,0,4,3,0,3,1,1,4
19,4,1,0,0,1,2,0,2,4,0,1,5
20,2,1,0,0,0,2,3,2,2,1,3,4
21,4,0,0,0,1,1,0,4,4,1,1,4
23,2,0,1,0,0,3,3,2,3,0,1,5
24,4,0,0,1,1,3,0,2,4,0,1,4
26,4,0,1,1,1,2,0,3,1,1,3,3
27,2,0,0,0,0,2,3,3,3,2,2,3
28,2,0,1,0,0,5,3,0,4,2,0,3
30,4,1,1,0,1,2,0,2,2,1,2,4
31,2,0,0,0,0,3,3,2,2,2,3,3
32,4,0,1,0,1,2,0,3,2,1,2,4
34,2,0,0,1,0,2,3,3,3,1,2,3
36,4,0,0,0,1,2,0,3,4,2,1,3
37,2,0,0,0,0,5,3,0,2,1,3,4
40,3,0,1,0,0,3,2,2,1,1,3,4
41,2,0,3,0,0,4,3,1,0,0,2,5
42,4,0,1,0,1,2,0,3,2,1,2,4
43,4,0,0,0,1,2,0,3,4,1,1,4
45,2,0,0,0,0,3,3,2,3,1,2,4
46,2,0,1,0,0,5,3,0,3,1,1,4
47,2,0,0,1,0,2,3,3,3,1,2,3
49,2,0,0,0,0,2,3,3,3,1,2,4
53,2,1,0,0,0,2,3,2,2,0,3,5
54,2,0,0,0,0,3,3,2,1,1,4,4
56,2,0,0,0,0,5,3,0,1,1,4,4
59,2,0,0,0,0,4,3,1,1,0,4,5
63,2,0,0,0,0,2,3,3,2,1,3,4
67,2,0,0,0,0,3,3,2,2,1,3,4
68,2,0,0,0,0,2,3,3,0,1,5,4
73,2,0,0,0,0,1,3,4,3,2,2,3
75,2,0,1,0,0,1,3,4,1,1,3,4
77,2,0,1,0,0,4,3,1,2,0,2,5
83,2,2,0,1,0,3,3,0,0,1,5,3
85,4,0,0,0,1,2,0,3,4,2,1,3
91,2,0,0,1,0,5,3,0,0,1,5,3
92,2,0,0,0,0,4,3,1,2,1,3,4
100,2,0,1,0,0,4,3,1,3,1,1,4
103,2,0,1,0,0,5,3,0,2,1,2,4
105,2,1,0,0,0,4,3,0,1,1,4,4
109,2,0,0,0,0,4,3,1,0,2,5,3
111,2,0,0,0,0,4,3,1,2,1,3,4
112,2,0,0,0,0,5,3,0,0,1,5,4
113,2,1,0,0,0,2,3,2,3,2,2,3
118,2,0,1,0,0,4,3,1,2,0,2,5
119,2,2,1,0,0,3,3,0,0,1,4,4
120,2,0,0,0,0,4,3,1,0,0,5,5
123,2,1,0,0,0,2,3,2,3,0,2,5
124,2,0,0,0,0,2,3,3,2,2,3,3
129,2,0,1,0,0,5,3,0,4,1,0,4
