bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,29,6,0,3,31,1,6,29,0,27,7,1
15,29,6,0,3,31,1,5,30,0,27,7,1
90,24,11,0,5,29,1,6,29,0,27,7,1
95,29,6,0,2,32,1,5,30,0,26,8,1
177,29,6,0,3,31,1,5,30,0,26,8,1
197,23,12,0,6,28,1,4,31,0,26,8,1
211,15,20,0,5,29,1,4,31,0,27,7,1
255,15,20,0,3,31,1,5,30,0,27,7,1
257,4,31,0,8,26,1,14,21,0,27,7,1
272,16,19,0,5,29,1,6,29,0,26,8,1
338,4,31,0,21,13,1,17,18,0,26,8,1
384,4,31,0,19,15,1,13,22,0,27,7,1
416,4,31,0,12,22,1,13,22,0,27,7,1
759,4,31,0,14,20,1,8,27,0,26,8,1
946,4,31,0,12,22,1,8,27,0,26,8,1
1760,4,31,0,12,22,1,12,23,0,27,7,1
2336,20,15,0,7,27,1,4,31,0,26,8,1
2408,4,31,0,21,13,1,25,10,0,24,10,1
3133,4,31,0,25,9,1,16,19,0,26,8,1
3254,4,31,0,14,20,1,13,22,0,26,8,1
3516,4,31,0,24,10,1,17,18,0,27,7,1
3774,4,31,0,23,11,1,14,21,0,27,7,1
7371,4,31,0,21,13,1,16,19,0,27,7,1
7380,4,31,0,14,20,1,17,18,0,26,8,1
7398,4,31,0,19,15,1,18,17,0,26,8,1
7406,4,31,0,16,18,1,20,15,0,26,8,1
7408,4,31,0,28,6,1,35,0,0,1,33,1
7412,4,31,0,24,10,1,18,17,0,26,8,1
7417,4,31,0,28,6,1,34,1,0,7,27,1
7423,4,31,0,28,6,1,24,11,0,24,10,1
7426,4,31,0,24,10,1,28,7,0,23,11,1
7433,4,31,0,29,5,1,29,6,0,24,10,1
7435,4,31,0,30,4,1,30,5,0,24,10,1
7442,4,31,0,19,15,1,21,14,0,26,8,1
7447,4,31,0,28,6,1,27,8,0,24,10,1
7448,4,31,0,28,6,1,35,0,0,1,33,1
7457,4,31,0,23,11,1,28,7,0,23,11,1
7459,4,31,0,28,6,1,35,0,0,1,33,1
7470,4,31,0,28,6,1,35,0,0,1,33,1
7471,4,31,0,28,6,1,35,0,0,1,33,1
7472,4,31,0,28,6,1,35,0,0,1,33,1
7474,4,31,0,28,6,1,35,0,0,1,33,1
7475,4,31,0,28,6,1,35,0,0,1,33,1
7477,4,31,0,28,6,1,35,0,0,1,33,1
7479,4,31,0,24,10,1,26,9,0,24,10,1
7480,4,31,0,28,6,1,35,0,0,1,33,1
7483,4,31,0,28,6,1,24,11,0,24,10,1
7484,4,31,0,28,6,1,35,0,0,1,33,1
7485,4,31,0,28,6,1,35,0,0,1,33,1
7501,4,31,0,22,12,1,28,7,0,23,11,1
7503,4,31,0,26,8,1,28,7,0,24,10,1
7504,4,31,0,26,8,1,21,14,0,26,8,1
7505,4,31,0,28,6,1,35,0,0,1,33,1
7506,4,31,0,28,6,1,34,1,0,7,27,1
7507,4,31,0,27,7,1,21,14,0,26,8,1
7510,4,31,0,30,4,1,29,6,0,24,10,1
7513,4,31,0,19,15,1,17,18,0,26,8,1
7514,4,31,0,21,13,1,17,18,0,26,8,1
7516,4,31,0,23,11,1,28,7,0,23,11,1
7521,4,31,0,23,11,1,17,18,0,26,8,1
7522,4,31,0,28,6,1,27,8,0,24,10,1
7523,4,31,0,28,6,1,27,8,0,24,10,1
7528,4,31,0,19,15,1,28,7,0,23,11,1
7532,4,31,0,28,6,1,27,8,0,24,10,1
7535,4,31,0,28,6,1,24,11,0,24,10,1
7540,4,31,0,23,11,1,29,6,0,23,11,1
7542,4,31,0,28,6,1,35,0,0,1,33,1
7543,4,31,0,28,6,1,35,0,0,1,33,1
7544,4,31,0,21,13,1,29,6,0,23,11,1
7550,4,31,0,12,22,1,5,30,0,26,8,1
7554,4,31,0,14,20,1,17,18,0,26,8,1
7555,4,31,0,22,12,1,29,6,0,24,10,1
7556,4,31,0,28,6,1,35,0,0,1,33,1
7558,4,31,0,32,2,1,19,16,0,26,8,1
7559,4,31,0,28,6,1,35,0,0,1,33,1
7563,4,31,0,14,20,1,29,6,0,23,11,1
7564,4,31,0,14,20,1,4,31,0,26,8,1
7566,4,31,0,15,19,1,20,15,0,26,8,1
7567,4,31,0,28,6,1,35,0,0,1,33,1
7568,4,31,0,19,15,1,21,14,0,26,8,1
7574,4,31,0,28,6,1,35,0,0,1,33,1
7575,4,31,0,23,11,1,29,6,0,24,10,1
7578,4,31,0,21,13,1,29,6,0,23,11,1
7583,4,31,0,32,2,1,30,5,0,25,9,1
7584,4,31,0,12,22,1,17,18,0,26,8,1
7585,4,31,0,15,19,1,17,18,0,26,8,1
7586,4,31,0,24,10,1,21,14,0,26,8,1
7587,4,31,0,24,10,1,14,21,0,27,7,1
7588,4,31,0,14,20,1,11,24,0,26,8,1
7590,4,31,0,9,25,1,17,18,0,26,8,1
7591,4,31,0,12,22,1,12,23,0,26,8,1
7594,4,31,0,13,21,1,17,18,0,26,8,1
7595,12,23,0,5,29,1,4,31,0,26,8,1
7596,4,31,0,19,15,1,16,19,0,27,7,1
7597,4,31,0,15,19,1,16,19,0,27,7,1
7598,4,31,0,15,19,1,14,21,0,26,8,1
7599,4,31,0,8,26,1,18,17,0,26,8,1
7600,4,31,0,11,23,1,16,19,0,26,8,1
7601,4,31,0,16,18,1,15,20,0,26,8,1
7602,4,31,0,15,19,1,12,23,0,26,8,1
7603,23,12,0,5,29,1,5,30,0,26,8,1
7604,4,31,0,11,23,1,6,29,0,26,8,1
