bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
1,18,0,27,4,29,12,2,17,26,16,0,29
2,18,0,27,4,29,12,3,18,24,16,0,29
3,17,0,28,4,29,12,6,17,22,16,0,29
4,18,0,27,3,29,13,4,17,24,16,0,29
5,18,0,27,3,30,12,5,21,19,16,0,29
6,17,0,28,3,30,12,5,20,20,16,0,29
7,17,0,28,4,29,12,5,21,19,16,0,29
8,18,0,27,4,29,12,5,20,20,16,0,29
9,17,0,28,3,30,12,5,20,20,16,0,29
10,17,0,28,4,29,12,5,20,20,16,0,29
13,12,15,18,5,17,23,6,18,21,16,0,29
14,16,5,24,4,20,21,3,17,25,16,0,29
16,14,8,23,4,20,21,5,14,26,16,0,29
19,17,0,28,3,30,12,5,19,21,16,0,29
20,14,7,24,4,21,20,5,18,22,16,0,29
21,18,0,27,4,27,14,6,19,20,16,0,29
23,4,30,11,4,5,36,2,13,30,16,0,29
24,17,0,28,3,30,12,5,20,20,16,0,29
26,17,0,28,4,29,12,5,21,19,16,0,29
27,16,4,25,4,21,20,3,21,21,16,0,29
28,4,30,11,0,2,43,1,12,32,16,0,29
30,18,0,27,3,30,12,5,21,19,16,0,29
31,17,3,25,4,23,18,5,16,24,16,0,29
32,18,0,27,4,27,14,3,23,19,16,0,29
34,17,3,25,4,23,18,4,18,23,16,0,29
36,18,0,27,4,25,16,4,19,22,16,0,29
37,11,15,19,4,14,27,5,15,25,16,0,29
40,17,2,26,4,23,18,5,15,25,16,0,29
41,4,30,11,0,2,43,0,1,44,15,0,30
42,17,0,28,4,27,14,4,20,21,16,0,29
43,17,0,28,4,27,14,4,19,22,16,0,29
45,10,20,15,4,13,28,3,17,25,16,0,29
46,4,30,11,1,2,42,5,16,24,16,0,29
47,17,4,24,4,21,20,6,13,26,16,0,29
49,17,4,24,4,21,20,4,18,23,16,0,29
53,10,20,15,4,13,28,1,15,29,16,0,29
54,4,30,11,1,6,38,2,11,32,16,0,29
56,8,21,16,2,9,34,2,12,31,16,0,29
59,4,30,11,0,5,40,1,10,34,16,0,29
63,10,20,15,4,13,28,4,15,26,16,0,29
67,17,3,25,4,23,18,4,18,23,16,0,29
68,4,30,11,3,7,35,2,14,29,14,0,31
73,17,4,24,4,21,20,3,21,21,16,0,29
