bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
11,2,1,1,2,7,1,0,7,3,0,5,7
15,2,0,1,2,7,4,0,5,5,0,3,7
90,2,1,1,2,0,4,7,4,6,0,2,7
95,2,0,0,2,7,3,0,6,6,0,3,7
177,2,0,0,2,7,2,0,7,6,0,3,7
197,2,1,0,2,0,4,7,4,4,0,5,7
211,2,0,0,2,0,4,7,5,2,0,7,7
255,2,0,1,2,0,8,7,1,2,0,6,7
257,2,0,0,2,0,9,7,0,1,0,8,7
272,2,1,1,2,0,3,7,5,3,0,5,7
338,2,0,0,2,0,9,7,0,0,0,9,7
384,2,1,0,2,0,7,7,1,1,0,8,7
416,2,0,1,2,0,8,7,1,0,0,8,7
759,2,1,0,2,0,8,7,0,0,0,9,7
946,2,0,0,2,0,9,7,0,1,0,8,7
1760,2,0,0,2,0,7,7,2,3,0,6,7
2336,2,1,0,2,0,4,7,4,5,0,4,7
2408,2,0,0,2,0,9,7,0,0,0,9,7
3133,2,0,0,2,0,9,7,0,0,0,9,7
3254,2,0,1,2,0,8,7,1,1,0,7,7
3516,2,0,0,2,0,9,7,0,1,0,8,7
3774,2,0,1,2,0,9,7,0,2,0,6,7
7371,2,0,0,2,0,9,7,0,0,0,9,7
7380,2,2,0,2,0,7,7,0,0,0,9,7
7398,2,0,0,2,0,8,7,1,0,0,9,7
7406,2,1,0,2,0,8,7,0,0,0,9,7
7408,2,1,2,0,0,8,7,0,0,0,7,9
7412,2,1,1,2,0,8,7,0,0,0,8,7
7417,2,2,1,0,0,7,7,0,0,0,8,9
7423,2,0,0,2,0,9,7,0,0,0,9,7
7426,2,0,3,2,0,9,7,0,0,0,6,7
7433,2,0,0,2,0,9,7,0,0,0,9,7
7435,2,0,0,2,0,9,7,0,0,0,9,7
7442,2,0,1,2,0,8,7,1,1,0,7,7
