bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
1,2,1,0,2,7,2,0,6,5,0,4,7
2,2,1,1,2,7,2,0,6,4,0,4,7
3,2,1,1,2,7,2,0,6,7,0,1,7
4,2,1,1,2,7,4,0,4,7,0,1,7
5,2,1,1,2,7,4,0,4,3,0,5,7
6,2,1,1,2,7,3,0,5,4,0,4,7
7,2,1,1,2,7,2,0,6,5,0,3,7
8,4,0,1,2,5,3,0,6,5,0,3,7
9,2,2,1,2,7,2,0,5,3,0,5,7
10,2,1,1,2,7,2,0,6,4,0,4,7
13,2,0,1,2,0,7,7,2,5,0,3,7
14,4,0,0,2,0,2,5,7,3,0,6,7
16,2,1,1,2,0,7,7,1,5,0,3,7
19,2,1,0,2,7,3,0,5,7,0,2,7
20,2,2,2,2,0,3,7,4,3,0,4,7
21,3,0,1,2,6,5,0,4,6,0,2,7
23,2,0,1,2,0,7,7,2,5,0,3,7
24,2,1,1,2,7,3,0,5,7,0,1,7
26,2,1,1,2,7,3,0,5,5,0,3,7
27,4,0,0,2,1,2,4,7,6,0,3,7
28,2,0,1,2,0,9,7,0,4,0,4,7
30,2,1,2,2,7,3,0,5,3,0,4,7
31,4,0,2,2,2,4,3,5,2,0,5,7
32,3,0,1,2,6,5,0,4,4,0,4,7
34,4,0,0,2,2,3,3,6,6,0,3,7
36,3,0,0,2,6,5,0,4,6,0,3,7
37,2,0,1,2,0,8,7,1,3,0,5,7
40,4,0,1,2,3,5,2,4,5,0,3,7
41,2,0,0,0,0,9,7,0,0,0,9,9
42,2,1,2,2,7,4,0,4,4,0,3,7
43,2,1,1,2,7,4,0,4,6,0,2,7
45,2,2,1,2,0,5,7,2,1,0,7,7
46,2,0,2,2,0,9,7,0,4,0,3,7
47,4,0,2,2,1,3,4,6,2,0,5,7
49,4,0,0,2,1,3,4,6,6,0,3,7
53,2,1,0,2,0,5,7,3,2,0,7,7
54,2,0,0,2,0,7,7,2,3,0,6,7
56,2,0,0,2,0,7,7,2,2,0,7,7
59,2,0,0,2,0,8,7,1,2,0,7,7
63,2,2,2,2,0,4,7,3,2,0,5,7
67,4,0,1,2,2,3,3,6,4,0,4,7
68,2,1,1,2,0,7,7,1,2,0,6,7
73,4,0,0,2,1,2,4,7,5,0,4,7
75,4,1,1,2,0,2,5,6,5,0,3,7
77,2,0,2,2,0,7,7,2,3,0,4,7
83,2,2,0,2,0,4,7,3,3,0,6,7
85,3,2,1,2,6,2,0,5,6,0,2,7
91,2,0,0,2,0,9,7,0,1,0,8,7
92,2,0,0,2,0,7,7,2,4,0,5,7
100,2,0,1,2,0,6,7,3,3,0,5,7
103,2,1,1,2,0,7,7,1,2,0,6,7
105,2,1,0,2,0,7,7,1,2,0,7,7
109,2,0,0,2,0,8,7,1,3,0,6,7
111,2,0,1,2,0,8,7,1,1,0,7,7
112,2,0,0,2,0,7,7,2,2,0,7,7
113,2,2,1,2,0,4,7,3,4,0,4,7
118,2,1,1,2,0,6,7,2,2,0,6,7
119,2,2,0,2,0,6,7,1,0,0,9,7
120,2,0,0,2,0,8,7,1,2,0,7,7
123,2,2,1,2,0,4,7,3,5,0,3,7
124,3,1,0,2,0,2,6,6,3,0,6,7
129,2,0,1,2,0,9,7,0,6,0,2,7
131,2,0,3,2,0,7,7,2,1,0,5,7
138,2,1,1,2,0,8,7,0,0,0,8,7
142,2,2,1,2,0,5,7,2,2,0,6,7
145,4,1,0,2,0,2,5,6,6,0,3,7
148,2,0,0,2,0,9,7,0,2,0,7,7
149,2,0,0,2,0,8,7,1,2,0,7,7
150,2,0,0,2,0,6,7,3,2,0,7,7
159,2,1,1,2,0,4,7,4,3,0,5,7
163,2,1,1,2,0,7,7,1,0,0,8,7
168,2,0,0,2,0,8,7,1,1,0,8,7
170,2,1,0,2,0,8,7,0,2,0,7,7
174,2,2,1,2,0,4,7,3,3,0,5,7
176,2,0,1,2,0,7,7,2,0,0,8,7
191,2,2,0,2,0,3,7,4,1,0,8,7
199,2,0,0,2,0,6,7,3,3,0,6,7
203,2,0,1,2,0,8,7,1,3,0,5,7
207,2,0,0,2,0,6,7,3,3,0,6,7
227,2,0,0,2,0,8,7,1,2,0,7,7
242,2,0,1,2,0,9,7,0,1,0,7,7
248,2,0,2,2,0,8,7,1,0,0,7,7
266,2,0,0,2,0,6,7,3,2,0,7,7
267,2,0,2,2,0,8,7,1,1,0,6,7
286,2,1,1,2,0,7,7,1,1,0,7,7
287,2,0,0,2,0,7,7,2,2,0,7,7
297,2,0,0,2,0,9,7,0,1,0,8,7
302,2,1,1,2,0,8,7,0,1,0,7,7
310,2,1,0,2,0,7,7,1,0,0,9,7
311,2,0,2,2,0,9,7,0,1,0,6,7
312,2,1,0,2,0,8,7,0,0,0,9,7
333,2,1,1,2,0,8,7,0,1,0,7,7
335,2,0,0,2,0,9,7,0,0,0,9,7
336,2,0,1,2,0,8,7,1,2,0,6,7
351,2,1,0,2,0,7,7,1,1,0,8,7
361,2,0,0,2,0,8,7,1,0,0,9,7
370,2,0,1,2,0,9,7,0,1,0,7,7
381,2,0,0,2,0,9,7,0,0,0,9,7
392,2,0,2,2,0,7,7,2,1,0,6,7
394,2,0,0,2,0,9,7,0,1,0,8,7
423,2,0,0,2,0,9,7,0,0,0,9,7
429,2,0,1,2,0,9,7,0,0,0,8,7
433,2,0,0,2,0,7,7,2,0,0,9,7
435,2,0,1,2,0,7,7,2,2,0,6,7
437,2,0,0,2,0,9,7,0,1,0,8,7
449,2,1,0,2,0,7,7,1,2,0,7,7
469,2,0,0,0,0,9,7,0,1,0,8,9
501,2,0,2,2,0,9,7,0,2,0,5,7
512,2,0,1,2,0,9,7,0,1,0,7,7
518,2,1,0,2,0,8,7,0,0,0,9,7
521,2,0,0,2,0,9,7,0,1,0,8,7
562,2,0,0,2,0,9,7,0,0,0,9,7
567,2,0,0,2,0,9,7,0,0,0,9,7
633,2,0,1,2,0,9,7,0,0,0,8,7
638,2,0,0,2,0,9,7,0,1,0,8,7
640,2,0,3,2,0,9,7,0,0,0,6,7
656,2,0,0,2,0,9,7,0,1,0,8,7
657,2,0,0,2,0,9,7,0,1,0,8,7
753,2,0,0,2,0,9,7,0,0,0,9,7
765,2,0,1,2,0,9,7,0,0,0,8,7
796,2,1,0,2,0,8,7,0,0,0,9,7
809,2,0,0,2,0,9,7,0,1,0,8,7
821,2,0,0,2,0,9,7,0,0,0,9,7
844,2,0,1,2,0,9,7,0,1,0,7,7
899,2,0,0,2,0,8,7,1,1,0,8,7
956,2,1,1,2,0,8,7,0,0,0,8,7
1019,2,0,0,0,0,9,7,0,0,0,9,9
1057,2,1,1,2,0,8,7,0,0,0,8,7
1069,2,0,0,2,0,9,7,0,0,0,9,7
1072,2,0,0,2,0,9,7,0,1,0,8,7
1151,2,0,0,2,0,9,7,0,0,0,9,7
1338,2,0,0,2,0,9,7,0,0,0,9,7
1371,2,0,0,2,0,9,7,0,0,0,9,7
1395,2,0,0,0,0,9,7,0,0,0,9,9
1551,2,0,0,2,0,8,7,1,1,0,8,7
